t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  4.0000   1.9697   1.9252   2.0670   2.1440   0.3800   0.4207   0.1688   0.1497   0.1013  -0.0015   0.0011   0.4054   0.0020  -0.0090 
  4.1000   2.0832   1.9941   2.0346   2.0427   0.3203   0.4328   0.1913   0.2164   0.1019  -0.0012  -0.0026   0.4156   0.0018  -0.0093 
  4.2000   0.4539   1.3375   1.6050   0.1621  -0.7375   0.8664   0.4613  -0.7288   0.0445   0.0291  -0.0182   0.4201   0.0046  -0.0111 
  4.3000  -0.3161   1.1956   1.2159  -0.4134  -0.9573   1.0499   0.7660  -0.9963   0.0210   0.0393  -0.0038   0.4223   0.0085  -0.0115 
  4.4000  -0.7417   1.1591   1.2402  -0.8998  -1.1304   1.2430   0.8950  -1.1512   0.0095   0.0505  -0.0078   0.4233   0.0136  -0.0122 
  4.5000  -1.3132   1.3415   1.4712  -1.4510  -1.1400   1.2585   0.8915  -1.1486   0.0006   0.0697  -0.0087   0.4234   0.0205  -0.0131 
  4.6000  -1.8887   1.5807   1.8603  -1.9252  -1.0499   1.2430   0.7591  -1.0681  -0.0047   0.0907  -0.0103   0.4231   0.0296  -0.0141 
  4.7000  -1.9576   2.0467   1.9008  -2.2008  -1.1538   1.0344   0.7998  -1.0205  -0.0026   0.1013  -0.0032   0.4229   0.0398  -0.0144 
  4.8000  -2.2291   1.9576   1.7549  -1.9981  -1.0612   1.1573   0.9244  -1.2326  -0.0064   0.0992   0.0141   0.4224   0.0497  -0.0130 
  4.9000  -2.0548   1.7671   1.7144  -2.3629  -1.1728   1.3278   0.9893  -1.0473  -0.0117   0.0987  -0.0083   0.4214   0.0596  -0.0139 
  5.0000  -2.4196   2.1521   2.0427  -2.3386  -0.9954   1.1339   0.8768  -1.0993  -0.0070   0.1119   0.0062   0.4209   0.0708  -0.0133 
  5.1000  -2.4723   1.9008   2.3467  -2.5169  -0.9140   1.3044   0.6959  -0.9547  -0.0093   0.1155  -0.0159   0.4201   0.0823  -0.0148 
  5.2000  -2.3345   2.5898   2.2008  -2.5453  -0.9642   0.8578   0.7660  -0.8881  -0.0011   0.1209   0.0058   0.4201   0.0944  -0.0143 
  5.3000  -2.4723   1.8360   2.0184  -2.2778  -0.8067   1.3061   0.8604  -1.0326  -0.0112   0.1076   0.0004   0.4192   0.1052  -0.0142 
  5.4000  -2.0832   1.8968   1.8887  -2.0913  -1.0370   1.3183   0.9573  -1.1304  -0.0049   0.0995   0.0000   0.4188   0.1151  -0.0142 
  5.5000  -2.3223   2.1683   2.2129  -2.3629  -0.8768   1.1495   0.7730  -0.9668  -0.0038   0.1133  -0.0028   0.4186   0.1265  -0.0145 
  5.6000  -2.4804   2.2372   2.2859  -2.3021  -0.7539   1.1114   0.7176  -0.9270  -0.0032   0.1163   0.0042   0.4185   0.1381  -0.0141 
  5.7000  -2.2048   2.6790   2.1643  -2.2291  -0.8794   0.8837   0.7634  -0.9487   0.0051   0.1160   0.0159   0.4191   0.1497  -0.0125 
  5.8000  -1.9616   1.7914   1.9130  -2.0711  -0.9686   1.3304   0.9063  -1.0309  -0.0041   0.0967  -0.0075   0.4188   0.1594  -0.0132 
  5.9000  -2.0224   1.9941   2.0224  -2.0184  -0.9712   1.2049   0.8500  -1.0612  -0.0003   0.1007  -0.0008   0.4189   0.1695  -0.0133 
  6.0000  -2.1197   2.2372   2.2251  -2.2737  -0.8898   1.0794   0.7253  -0.8967   0.0009   0.1107  -0.0046   0.4192   0.1805  -0.0138 
  6.1000  -2.2899   2.1400   2.2980  -2.1683  -0.7461   1.1045   0.6873  -0.9227  -0.0003   0.1112  -0.0012   0.4193   0.1916  -0.0139 
  6.2000  -2.0548   2.2008   1.9454  -2.0832  -0.9296   1.1304   0.8638  -0.9539   0.0001   0.1036   0.0074   0.4195   0.2020  -0.0132 
  6.3000  -1.8117   1.6212   1.8603  -2.0103  -1.0759   1.4706   0.9106  -1.0205  -0.0043   0.0913  -0.0142   0.4192   0.2111  -0.0146 
  6.4000  -1.9495   1.9454   2.0103  -2.1197  -1.0110   1.3079   0.8422  -0.9807  -0.0014   0.1003  -0.0076   0.4192   0.2212  -0.0153 
  6.5000  -2.2170   2.2291   2.2778  -2.2534  -0.8509   1.1175   0.6907  -0.8708   0.0005   0.1122  -0.0028   0.4194   0.2324  -0.0156 
  6.6000  -2.3223   2.3507   2.3386  -2.2008  -0.7678   1.0370   0.6388  -0.8863   0.0021   0.1152   0.0043   0.4198   0.2439  -0.0152 
