t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  4.0000   1.9130   2.2859   2.1764   2.3467   0.2493   0.3107   0.1065   0.1411   0.1090   0.0025   0.0176   0.4009   0.0004   0.0007 
  4.1000   1.8725   1.8968   1.8968   1.8481   0.2605   0.1004   0.0978   0.0943   0.0939   0.0009  -0.0008   0.4103   0.0005   0.0006 
  4.2000  -0.4985   1.1065   1.5685  -0.8673  -1.9977   0.7903   0.4423  -1.8705   0.0164   0.0505  -0.0270   0.4119   0.0056  -0.0021 
  4.3000  -3.1978   1.9333   1.9941  -3.1491  -1.9432   1.3901   0.7652  -1.9337  -0.0302   0.1284  -0.0004   0.4089   0.0184  -0.0021 
  4.4000  -5.1067   1.9252   2.1562  -5.1959  -1.9848   1.3053   0.6223  -1.9553  -0.0778   0.1798  -0.0104   0.4012   0.0364  -0.0032 
  4.5000  -3.2626   2.5777   2.4196  -2.8857  -0.7132   1.1079   0.4544  -0.5972  -0.0144   0.1393   0.0174   0.3998   0.0503  -0.0014 
  4.6000  -2.9546   1.7063   1.2078  -2.5939  -0.8898   0.9963   0.8742  -1.0958  -0.0329   0.1058   0.0279   0.3965   0.0609   0.0014 
  4.7000  -2.2372   2.3588   2.4196  -2.3629  -0.5834   1.2776   1.2386  -0.8578   0.0022   0.1172  -0.0061   0.3967   0.0727   0.0008 
  4.8000  -1.8157   2.4196   2.3345  -1.9819  -0.6925   0.8154   0.6076  -0.7262   0.0120   0.1069  -0.0026   0.3979   0.0833   0.0005 
  4.9000  -1.6333   1.7914   2.2129  -1.8644  -0.7851   0.9123   0.4129  -0.8180   0.0063   0.0938  -0.0212   0.3985   0.0927  -0.0016 
  5.0000  -1.5725   1.9697   1.8279  -1.2524  -1.1832   1.1538   0.5462  -1.0828   0.0122   0.0828   0.0150   0.3997   0.1010  -0.0001 
  5.1000  -1.9616   1.7387   1.6090  -1.7428  -1.2707   1.2317   1.0257  -1.5165  -0.0045   0.0882   0.0113   0.3993   0.1098   0.0010 
  5.2000  -1.8279   2.0913   2.2291  -2.2494  -1.2352   1.3035   1.0716  -1.2031   0.0030   0.1050  -0.0182   0.3996   0.1203  -0.0008 
  5.3000  -2.0832   2.1805   2.1035  -1.9819  -1.1616   1.1867   0.7305  -1.0872   0.0027   0.1044   0.0058   0.3999   0.1307  -0.0002 
  5.4000  -1.7914   1.6698   2.1035  -2.0711  -1.2473   1.3312   0.7158  -1.0915  -0.0011   0.0954  -0.0232   0.3998   0.1403  -0.0026 
  5.5000  -2.1278   2.3750   2.0589  -1.8968  -1.3641   1.3425   0.7046  -1.0768   0.0051   0.1057   0.0178   0.4003   0.1509  -0.0008 
  5.6000  -2.1521   1.8644   1.6901  -1.5969  -1.1097   1.1850   0.8690  -1.4403  -0.0024   0.0913   0.0237   0.4001   0.1600   0.0016 
  5.7000  -2.2291   2.2413   2.0792  -2.5169  -1.0093   1.1235   1.0915  -1.1867  -0.0053   0.1133  -0.0041   0.3995   0.1713   0.0012 
  5.8000  -1.9697   2.1886   2.2656  -2.1156  -0.7859   0.9573   0.6777  -0.8569   0.0046   0.1067  -0.0072   0.4000   0.1820   0.0005 
  5.9000  -2.0103   1.7914   2.1035  -2.0346  -0.8327   0.9850   0.4994  -0.8872  -0.0019   0.0992  -0.0109   0.3998   0.1919  -0.0006 
  6.0000  -1.5563   1.8887   2.0305  -1.8400  -1.1287   1.1209   0.5514  -0.8734   0.0065   0.0914  -0.0138   0.4004   0.2011  -0.0020 
  6.1000  -2.0589   1.9738   1.7063  -1.5563  -1.2689   1.1876   0.6561  -1.2750   0.0008   0.0912   0.0250   0.4005   0.2102   0.0005 
  6.2000  -2.2251   1.9454   1.8279  -2.3264  -1.0586   1.1053   0.9738  -1.1668  -0.0097   0.1041   0.0005   0.3996   0.2206   0.0005 
  6.3000  -2.0589   2.1886   1.9697  -1.8887  -0.8448   1.0906   0.9227  -1.0144   0.0026   0.1013   0.0126   0.3998   0.2307   0.0018 
  6.4000  -1.9252   2.0305   2.4115  -2.4196  -0.8803   0.9513   0.6570  -0.9331   0.0012   0.1098  -0.0284   0.3999   0.2417  -0.0010 
