t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  3.8000  -2.7965   3.0519  -2.8127   3.3113  -0.8820   0.7530  -0.7011   0.5254   0.0094  -0.0034   0.3887  -0.0000   0.0007   1.4922 
  3.9000  -3.1167   2.8938  -3.4693   2.7398  -1.0802   0.8275  -0.4060   0.5799  -0.0119  -0.0025   0.3967   0.0001  -0.0005   1.5319 
  4.0000  -2.9424   3.3721  -2.9424   3.3315  -0.8154   0.8102  -0.2380   0.5003   0.0102   0.0005   0.4087   0.0001   0.0005   1.5728 
  4.1000  -3.1289   2.6912  -2.6385   2.7965  -0.8950   0.7877  -0.6760   0.4181  -0.0035   0.0048   0.3654  -0.0004   0.0002   1.6093 
  4.2000  -3.3599   3.5382  -3.1654   3.2018  -0.7981   0.5773  -0.6397   0.7020   0.0027   0.0066   0.4307  -0.0010   0.0004   1.6524 
  4.3000  -2.6628   2.7601  -3.3194   2.5331  -0.7807   0.4276  -0.3332   0.7253  -0.0086  -0.0054   0.3661  -0.0004  -0.0004   1.6890 
  4.4000  -3.4328   2.8979  -2.7763   3.1370  -0.5903   1.0127  -0.6206   0.7773  -0.0022   0.0052   0.3975  -0.0009  -0.0007   1.7287 
  4.5000  -2.7033   3.1491  -2.9424   3.5261  -0.7020   0.6128  -0.6085   0.5929   0.0129  -0.0077   0.4000  -0.0004   0.0007   1.7687 
  4.6000  -3.0032   2.7722  -3.3923   2.7763  -0.9859   0.6821  -0.4068   0.4423  -0.0106  -0.0049   0.3878   0.0003  -0.0002   1.8075 
  4.7000  -3.2383   3.0438  -2.7276   3.1775  -0.6743   0.9573  -0.3713   0.5704   0.0032   0.0047   0.3957  -0.0002  -0.0000   1.8471 
  4.8000  -2.8371   2.5696  -2.8857   3.0559  -0.8621   0.9573  -0.5721   0.5782  -0.0012  -0.0067   0.3684   0.0005   0.0000   1.8839 
  4.9000  -3.3194   3.8665  -3.1370   3.1897  -0.9140   0.6189  -0.3956   0.5765   0.0075   0.0107   0.4387  -0.0008   0.0004   1.9278 
  5.0000  -2.6790   2.4480  -3.4896   2.3223  -0.7219   0.5237  -0.2043   0.7626  -0.0175  -0.0086   0.3552   0.0006  -0.0009   1.9633 
  5.1000  -2.9668   3.2140  -2.5817   3.1370  -0.8266   1.2542  -0.4588   0.9028   0.0100   0.0058   0.3863  -0.0003  -0.0002   2.0019 
  5.2000  -3.1127   3.3356  -2.9343   3.5017  -0.8413   0.6474  -0.7262   0.4778   0.0099   0.0002   0.4183  -0.0007   0.0007   2.0438 
  5.3000  -3.1978   2.8938  -3.1491   2.5574  -0.7427   0.5496  -0.4977   0.6111  -0.0112   0.0048   0.3831  -0.0006  -0.0006   2.0821 
  5.4000  -3.3721   2.9222  -2.7763   3.3558  -0.3601   0.8716  -0.6873   0.7401   0.0016   0.0020   0.4035  -0.0009  -0.0005   2.1224 
  5.5000  -2.8816   2.6060  -2.9303   3.1775  -0.5972   0.8344  -0.5946   0.6397  -0.0004  -0.0078   0.3765  -0.0002  -0.0001   2.1601 
  5.6000  -3.0194   3.4531  -3.3072   3.1654  -0.8188   0.7002  -0.3549   0.6241   0.0036   0.0000   0.4203  -0.0004   0.0002   2.2021 
  5.7000  -2.8087   3.0762  -3.3072   2.6142  -0.6881   0.4813  -0.1757   0.6483  -0.0053  -0.0005   0.3833  -0.0001  -0.0002   2.2404 
  5.8000  -2.3223   2.5047  -2.4966   3.0276  -1.0404   1.1287  -0.6379   0.6907   0.0089  -0.0087   0.3361   0.0001   0.0010   2.2740 
  5.9000  -3.6477   3.5544  -3.1289   3.3680  -1.1555   0.9192  -0.7859   0.4813   0.0018   0.0088   0.4448  -0.0007   0.0006   2.3185 
  6.0000  -3.1613   2.6182  -3.3558   2.4480  -0.5825   0.6448  -0.3021   0.7236  -0.0181  -0.0003   0.3761   0.0005  -0.0007   2.3561 
  6.1000  -3.2626   3.3558  -2.5939   3.4572  -0.5436   0.9902  -0.5289   0.7392   0.0120   0.0071   0.4113  -0.0008  -0.0004   2.3973 
  6.2000  -3.0073   2.6425  -2.8695   3.2099  -0.6829   0.6725  -0.7245   0.4510  -0.0003  -0.0054   0.3808  -0.0004  -0.0000   2.4353 
  6.3000  -3.2626   3.0883  -3.1410   2.8695  -0.7868   0.7773  -0.4839   0.7089  -0.0056   0.0043   0.4013  -0.0003  -0.0007   2.4755 
  6.4000  -2.8938   3.2707  -3.1491   2.9424  -0.5799   0.5306  -0.3653   0.8500   0.0021   0.0009   0.3979  -0.0005  -0.0006   2.5153 
  6.5000  -2.6385   2.5817  -2.7520   2.9465  -0.7643   0.8292  -0.6760   0.7297   0.0017  -0.0060   0.3545  -0.0003  -0.0001   2.5507 
  6.6000  -3.1654   3.3234  -3.2829   3.5544  -0.9331   0.8387  -0.5444   0.5522   0.0054  -0.0044   0.4327  -0.0005   0.0006   2.5940 
  6.7000  -2.9708   2.8735  -3.4045   2.5817  -0.8171   0.6466  -0.1290   0.5271  -0.0115  -0.0018   0.3841   0.0006   0.0002   2.6324 
  6.8000  -3.1370   2.9060  -2.3953   2.9587  -0.6717   1.0915  -0.5254   0.7773   0.0042   0.0086   0.3700  -0.0002  -0.0004   2.6694 
  6.9000  -3.2707   2.8695  -3.1532   3.4815  -0.6873   0.9218  -0.6327   0.5895  -0.0009  -0.0062   0.4148   0.0002   0.0001   2.7109 
  7.0000  -2.8857   3.6233  -2.8492   2.8573  -0.7660   0.5886  -0.3159   0.5730   0.0093   0.0100   0.3966  -0.0011  -0.0004   2.7505 
  7.1000  -3.1046   3.1897  -3.1410   2.8006  -0.6371   0.3133  -0.6076   0.6725  -0.0032   0.0044   0.3973  -0.0010  -0.0009   2.7903 
  7.2000  -2.7520   2.3629  -2.9911   2.9303  -0.6587   0.8206  -0.5843   0.7530  -0.0056  -0.0101   0.3583  -0.0001  -0.0002   2.8261 
  7.3000  -3.2586   3.2950  -3.1370   3.6639  -0.7678   0.8803  -0.4388   0.5090   0.0070  -0.0031   0.4336  -0.0007   0.0003   2.8695 
  7.4000  -2.8735   2.9343  -3.0438   2.1926  -0.7279   0.4787  -0.3566   0.7002  -0.0099   0.0071   0.3586   0.0001  -0.0006   2.9053 
  7.5000  -3.2505   3.0438  -2.7722   3.1167  -0.4873   0.8638  -0.7444   1.0352   0.0017   0.0051   0.3956  -0.0002  -0.0011   2.9449 
  7.6000  -2.9587   2.8735  -3.0924   3.6233  -0.5358   0.6769  -0.6379   0.5895   0.0056  -0.0110   0.4074  -0.0005   0.0001   2.9856 
  7.7000  -2.9465   2.9668  -3.2829   2.8330  -0.8483   0.6855  -0.2285   0.5548  -0.0054  -0.0025   0.3906   0.0000   0.0003   3.0247 
  7.8000  -3.0397   3.5504  -2.9830   3.0681  -0.6405   0.5721  -0.3332   0.6102   0.0074   0.0067   0.4104  -0.0008  -0.0003   3.0657 
  7.9000  -2.2413   2.0832  -2.5412   2.8452  -1.0032   0.8898  -0.7600   0.5583   0.0018  -0.0133   0.3153  -0.0009   0.0010   3.0972 
  8.0000  -3.8098   3.5504  -3.2261   3.5423  -1.1400   1.0733  -0.7193   0.4925   0.0007   0.0074   0.4587  -0.0010   0.0003   3.1431 
  8.1000  -2.9222   3.0032  -3.0073   2.2291  -0.6769   0.4207  -0.3826   0.7730  -0.0087   0.0086   0.3624  -0.0001  -0.0006   3.1794 
  8.2000  -3.5058   3.0519  -3.0762   3.4774  -0.5462   0.8863  -0.6942   0.8067  -0.0007   0.0001   0.4257  -0.0000  -0.0006   3.2219 
  8.3000  -2.9060   2.6182  -2.6385   3.2869  -0.5886   0.8024  -0.6258   0.4432   0.0045  -0.0050   0.3717  -0.0005  -0.0001   3.2591 
  8.4000  -3.0397   3.8949  -3.3964   2.9546  -0.9772   0.3107  -0.4111   0.7132   0.0052   0.0073   0.4313  -0.0009  -0.0009   3.3022 
  8.5000  -2.7844   2.5777  -2.8695   2.6020  -0.6128   0.3410  -0.6327   0.6700  -0.0059  -0.0014   0.3517  -0.0004  -0.0007   3.3374 
  8.6000  -3.0397   2.6871  -3.1735   3.3194  -0.7842   0.9668  -0.6760   0.7859  -0.0026  -0.0096   0.3967  -0.0003   0.0003   3.3771 
  8.7000  -3.0276   3.1856  -3.0640   3.1775  -0.7946   0.7530  -0.4233   0.5306   0.0034  -0.0004   0.4044  -0.0006   0.0003   3.4175 
  8.8000  -2.9343   3.2383  -3.1856   2.8209  -0.8240   0.5176  -0.3696   0.6206  -0.0008   0.0021   0.3954  -0.0005   0.0001   3.4571 
  8.9000  -3.1248   2.7965  -2.6506   2.8006  -0.7054   0.7253  -0.6604   0.7072  -0.0022   0.0059   0.3692  -0.0001  -0.0004   3.4940 
  9.0000  -3.2707   2.7965  -3.3923   3.6598  -0.5938   0.8846  -0.5765   0.5211  -0.0026  -0.0123   0.4260  -0.0003   0.0009   3.5366 
  9.1000  -2.5696   3.7125  -2.8857   2.5412  -0.9521   0.4371  -0.1047   0.5548   0.0100   0.0107   0.3802  -0.0008  -0.0005   3.5746 
  9.2000  -3.1127   2.7965  -2.9546   3.2018  -0.7686   0.4484  -0.7565   0.5116  -0.0009  -0.0031   0.3917  -0.0009  -0.0002   3.6138 
  9.3000  -3.1046   2.6547  -2.9060   2.9222  -0.7522   0.7859  -0.5773   0.5773  -0.0054  -0.0009   0.3762  -0.0004   0.0001   3.6514 
  9.4000  -3.2261   3.2707  -3.0640   3.1248  -0.6570   0.6864  -0.4994   0.6674   0.0013   0.0039   0.4119  -0.0004  -0.0003   3.6926 
  9.5000  -2.9668   3.1735  -3.0073   2.6547  -0.6059   0.3506  -0.4942   0.7894  -0.0018   0.0060   0.3832   0.0001  -0.0007   3.7309 
  9.6000  -2.7520   2.7276  -2.9100   2.9789  -0.6760   0.6578  -0.7660   0.8915   0.0006  -0.0051   0.3691  -0.0002  -0.0003   3.7678 
  9.7000  -3.3477   2.9830  -3.2221   3.6639  -0.6873   0.8335  -0.6492   0.4968   0.0010  -0.0069   0.4291  -0.0007   0.0002   3.8107 
  9.8000  -2.4804   3.4045  -3.3477   2.6385  -0.9712   0.3393  -0.1246   0.5799   0.0027  -0.0013   0.3854  -0.0010   0.0002   3.8493 
  9.9000  -2.9424   3.0194  -2.9181   3.0559  -0.9028   0.5462  -0.5401   0.4397   0.0027  -0.0002   0.3875  -0.0012  -0.0000   3.8880 
 10.0000  -2.8735   2.3629  -2.7357   2.9181  -1.0439   0.9400  -0.7401   0.5038  -0.0041  -0.0052   0.3536  -0.0013   0.0007   3.9234 
 10.1000  -3.4936   3.3802  -3.3113   3.0397  -1.0621   0.9954  -0.5133   0.7124  -0.0048   0.0065   0.4294  -0.0005   0.0005   3.9663 
 10.2000  -2.7965   3.1654  -3.0194   2.6020  -0.7790   0.5566  -0.3757   0.8318  -0.0006   0.0043   0.3761  -0.0001   0.0003   4.0039 
 10.3000  -3.1289   3.1289  -2.8938   3.6031  -0.8076   0.7781  -0.7323   0.5245   0.0089  -0.0030   0.4141  -0.0009  -0.0002   4.0453 
