t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  0.1000  -0.0000   0.0000  -0.0000   0.0000   0.0641  -0.1125   0.0346   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 
  0.2000   0.4256   3.1897   0.4053   3.1978   0.1662   1.8566   0.1497   1.8627   0.0902  -0.0004   0.1804   0.0090  -0.0000   0.0180 
  0.3000   0.7782   5.6903   0.7660   5.9740   0.0857   1.7822   0.0476   1.7476   0.1651  -0.0037   0.3286   0.0255  -0.0001   0.0509 
  0.4000   1.1551   7.9033   0.6323   8.6247   0.1099   1.8203   0.1437   1.6065   0.2289  -0.0156   0.4786   0.0485  -0.0005   0.0988 
  0.5000   0.9727   9.7554   0.7822  10.5336   0.1679   1.8705   0.0918   1.4074   0.2755  -0.0121   0.6018   0.0760   0.0010   0.1589 
  0.6000   1.1835  10.3148   0.9849  11.2469  -0.0502   1.8186   0.0026   1.1780   0.2966  -0.0141   0.6297   0.1055   0.0043   0.2219 
  0.7000   0.9646  10.9470   0.7660  11.8954  -0.0346   1.5303   0.0390   0.8154   0.3072  -0.0143   0.6854   0.1358   0.0097   0.2904 
  0.8000   0.8025  11.2388   0.7336  12.4790  -0.0113   1.1512   0.0303   0.4761   0.3157  -0.0164   0.7202   0.1665   0.0171   0.3625 
  0.9000   1.0983  11.5428   1.0011  11.8832  -0.1999   0.8266   0.1662   0.5280   0.3191  -0.0055   0.6924   0.1966   0.0280   0.4317 
  1.0000   1.0213  11.6117   0.9160  11.4455  -0.1999   0.6128   0.1601   0.5029   0.3124   0.0008   0.6857   0.2249   0.0411   0.5003 
  1.1000   0.7336  11.5914   0.7944  10.6674  -0.0788   0.5185   0.0935   0.6232   0.2973   0.0123   0.6731   0.2504   0.0564   0.5676 
  1.2000   0.8998  10.8579   0.7214  10.2499  -0.1904   0.5427   0.0130   0.6717   0.2841   0.0054   0.6327   0.2741   0.0722   0.6309 
  1.3000   0.8998  10.8133   0.6809   9.9257  -0.2302   0.5695   0.0156   0.7262   0.2790   0.0084   0.6220   0.2961   0.0893   0.6931 
  1.4000   0.9038  10.2418   0.9484   9.5812  -0.2545   0.6587   0.0095   0.8076   0.2709   0.0088   0.5835   0.3164   0.1073   0.7514 
  1.5000   1.0132  10.2134   0.8673   9.4596  -0.3358   0.7167   0.1420   0.8794   0.2694   0.0076   0.5777   0.3356   0.1262   0.8092 
  1.6000   1.1591  10.2661   1.0132   9.3785  -0.4761   0.8431   0.1229   0.9140   0.2727   0.0093   0.5673   0.3537   0.1466   0.8659 
  1.7000   0.9889   9.5082   1.0578  10.1324  -0.4440   1.2880   0.1264   0.6310   0.2711  -0.0069   0.5712   0.3718   0.1668   0.9230 
  1.8000   1.0983   8.6936   0.5998  10.2864  -0.5548   1.7251   0.0277   0.4423   0.2585  -0.0261   0.5611   0.3895   0.1858   0.9791 
  1.9000   0.6079   9.2286   0.6363   9.8041  -0.3090   1.4377   0.0424   0.6206   0.2535  -0.0068   0.5775   0.4042   0.2065   1.0369 
  2.0000   0.5634   9.3988   0.6809   9.1961  -0.2874   1.3884   0.0398   0.9616   0.2480   0.0040   0.5633   0.4165   0.2280   1.0932 
  2.1000   0.3080   9.5933   0.6120   9.5001  -0.1125   1.3546   0.0840   0.8751   0.2502   0.0050   0.5900   0.4275   0.2505   1.1522 
  2.2000   0.4134   9.3015   0.4782   9.4758  -0.0528   1.5416   0.2190   1.0153   0.2459  -0.0014   0.5807   0.4376   0.2729   1.2103 
  2.3000   0.3931   9.1799   0.2189   9.4515  -0.0372   1.6126   0.3601   1.0257   0.2405  -0.0056   0.5850   0.4466   0.2952   1.2688 
  2.4000   0.2594   9.2894   0.3688   9.1110   0.0415   1.5147   0.3990   1.3200   0.2379   0.0036   0.5770   0.4534   0.3180   1.3265 
  2.5000   0.5634   9.7919   0.6242   9.0989   0.0840   1.2984   0.3133   1.4187   0.2510   0.0094   0.5748   0.4585   0.3426   1.3840 
  2.6000   0.3891  10.9713   1.0578   9.4839   0.0649   1.0041   0.0952   1.2663   0.2738   0.0270   0.6172   0.4610   0.3700   1.4457 
  2.7000   0.8876  10.8822   1.0497   9.6339   0.1203   0.9573   0.0744   1.0413   0.2807   0.0176   0.6032   0.4627   0.3981   1.5060 
  2.8000   1.0740  10.8497   1.0011   9.9014  -0.0173   0.9296   0.0649   0.8837   0.2853   0.0109   0.6064   0.4635   0.4266   1.5666 
  2.9000   0.9241  10.0918   0.8916  10.7160  -0.0173   1.0266   0.1056   0.6552   0.2828  -0.0082   0.6166   0.4644   0.4549   1.6283 
  3.0000   1.1429  10.7160   1.0335   9.7028  -0.2181   0.7989   0.0476   0.7885   0.2824   0.0113   0.5923   0.4617   0.4830   1.6875 
  3.1000   1.1591  10.2621   1.4023   9.8406  -0.1523   0.9625   0.0658   0.7591   0.2833   0.0083   0.5695   0.4575   0.5111   1.7445 
  3.2000   0.9241   9.4028   1.2645  10.4445  -0.1852   1.3338   0.0883   0.6648   0.2754  -0.0088   0.5733   0.4536   0.5384   1.8018 
  3.3000   0.6485   9.3907   0.9605  10.3999  -0.1004   1.3615   0.0242   0.6596   0.2675  -0.0087   0.5903   0.4484   0.5646   1.8609 
  3.4000   0.8187   9.2813   0.8309  10.2783  -0.1740   1.4247   0.0078   0.6544   0.2651  -0.0123   0.5815   0.4420   0.5903   1.9190 
  3.5000   0.7579   9.5082   0.5877  10.2742  -0.1922   1.3278   0.0130   0.6180   0.2641  -0.0117   0.5986   0.4340   0.6156   1.9789 
  3.6000   0.7822   9.6541   0.5877  10.0229  -0.1973   1.2360   0.0182   0.6561   0.2631  -0.0070   0.5944   0.4242   0.6400   2.0383 
  3.7000   0.6728   9.6663   0.6079   9.5447  -0.1619   1.1832   0.0095   0.8292   0.2561   0.0007   0.5822   0.4126   0.6628   2.0965 
  3.8000   0.6687   9.6420   0.6120   9.6947  -0.1316   1.1616   0.0156   0.7773   0.2577  -0.0014   0.5862   0.3998   0.6852   2.1551 
  3.9000   0.7538   9.5082   0.6120   9.7028  -0.1835   1.2144   0.0234   0.7652   0.2572  -0.0042   0.5794   0.3860   0.7069   2.2131 
  4.0000   0.6687   9.5974   0.6687   9.6460  -0.1463   1.1287   0.0216   0.7383   0.2573  -0.0006   0.5814   0.3706   0.7275   2.2712 
  4.1000   0.8552  10.1526   0.8268   9.5731  -0.2389   0.8379   0.0061   0.8110   0.2676   0.0069   0.5858   0.3529   0.7475   2.3298 
  4.2000   0.8309   9.8649   0.9281   9.5366  -0.2034   0.9539   0.0364   0.8206   0.2645   0.0053   0.5728   0.3343   0.7664   2.3871 
  4.3000   0.7295  10.6876   0.8673   9.3988  -0.1982   0.5964   0.1454   0.9071   0.2710   0.0178   0.6003   0.3133   0.7836   2.4471 
  4.4000   0.9646  10.4201   0.8268   9.2569  -0.3445   0.7833   0.0433   1.0344   0.2684   0.0128   0.5807   0.2919   0.7998   2.5052 
  4.5000   0.8309   9.6784   0.8187   9.3866  -0.2666   1.1209   0.0467   0.9158   0.2589   0.0035   0.5654   0.2708   0.8149   2.5617 
  4.6000   0.4904   9.2205   0.8673  10.0797  -0.1238   1.4143   0.0433   0.6985   0.2582  -0.0060   0.5825   0.2496   0.8296   2.6200 
  4.7000   0.5958   9.1799   0.8025  10.3715  -0.0874   1.4576   0.0649   0.5592   0.2619  -0.0123   0.5894   0.2275   0.8437   2.6789 
  4.8000   0.4539   9.3623   0.8916  10.5823  -0.0372   1.4048   0.0251   0.4215   0.2661  -0.0098   0.6039   0.2041   0.8564   2.7393 
  4.9000   0.5998   9.4109   0.9362  10.4201  -0.0580   1.3728   0.0225   0.4588   0.2671  -0.0084   0.5940   0.1798   0.8677   2.7987 
  5.0000   0.5512   9.6541   0.6566  10.1770  -0.0286   1.2603   0.0320   0.5384   0.2630  -0.0052   0.6047   0.1552   0.8770   2.8592 
  5.1000   0.6120   9.6460   0.5512   9.6825   0.0069   1.2187   0.0095   0.7522   0.2561  -0.0012   0.5898   0.1307   0.8843   2.9182 
